Player Name,Team,Runs,Matches,Inn,No,HS,AVG,BF,SR,100s,50s,4s,6s,HS_numeric,AVG_numeric,Run_Category,Inn_Group
Yash Dayal,RCB,4,15,3,1,3,2.00,8,50.0,0,0,0,0,3,2.0,0-50,1-3
Akash Madhwal,RR,4,4,1,1,4*,-,9,44.44,0,0,0,0,4,,0-50,1-3
Madhav Tiwari,DC,3,1,1,0,3,3.00,4,75.0,0,0,0,0,3,3.0,0-50,1-3
Mohammed Siraj,GT,3,15,1,1,3*,-,4,75.0,0,0,0,0,3,,0-50,1-3
Kumar Kartikeya Singh,RR,3,4,2,0,2,1.50,5,60.0,0,0,0,0,2,1.5,0-50,1-3
Simarjeet Singh,SRH,3,4,3,1,3*,1.50,7,42.85,0,0,0,0,3,1.5,0-50,1-3
Fazalhaq Farooqi,RR,2,5,1,1,2*,-,2,100.0,0,0,0,0,2,,0-50,1-3
Trent Boult,MI,2,16,2,1,1*,2.00,3,66.66,0,0,0,0,1,2.0,0-50,1-3
Spencer Johnson,KKR,2,4,2,2,1*,-,4,50.0,0,0,0,0,1,,0-50,1-3
Arshdeep Singh,PBKS,2,17,2,1,1*,2.00,6,33.33,0,0,0,0,1,2.0,0-50,1-3
Varun Chakaravarthy,KKR,1,13,1,1,1*,-,1,100.0,0,0,0,0,1,,0-50,1-3
V Satyanarayana Penmetsa,MI,1,2,1,1,1*,-,1,100.0,0,0,0,0,1,,0-50,1-3
Karn Sharma,MI,1,6,1,1,1*,-,1,100.0,0,0,0,0,1,,0-50,1-3
Khaleel Ahmed,CSK,1,14,2,2,1*,-,2,50.0,0,0,0,0,1,,0-50,1-3
Mohit Sharma,DC,1,8,2,1,1*,1.00,3,33.33,0,0,0,0,1,1.0,0-50,1-3
Donovan Ferreira,DC,1,1,1,0,1,1.00,3,33.33,0,0,0,0,1,1.0,0-50,1-3
Digvesh Singh,LSG,1,13,2,1,1,1.00,3,33.33,0,0,0,0,1,1.0,0-50,1-3
Manoj Bhandage,RCB,1,1,1,0,1,1.00,4,25.0,0,0,0,0,1,1.0,0-50,1-3
